Pos,St,#,Driver,Sponsor / Owner,Car,Laps,Status,Led,Pts,PPts,Track/Year
1,11,17,   Chris Buescher,Fifth Third Bank   (Jack Roush),Ford,163,running,2,40,5,Daytona 2023
2,12,6,   Brad Keselowski,King's Hawaiian   (Jack Roush),Ford,163,running,6,45,1,Daytona 2023
3,2,10,   Aric Almirola,Smithfield   (Stewart Haas Racing),Ford,163,running,3,34,0,Daytona 2023
4,23,9,   Chase Elliott,Llumar   (Rick Hendrick),Chevrolet,163,running,2,37,0,Daytona 2023
5,14,22,   Joey Logano,Shell Pennzoil   (Roger Penske),Ford,163,running,9,39,0,Daytona 2023
6,31,48,   Alex Bowman,Ally Arena   (Rick Hendrick),Chevrolet,163,running,0,38,0,Daytona 2023
7,18,8,   Kyle Busch,Cheddar's Scratch Kitchen   (Richard Childress),Chevrolet,163,running,5,39,0,Daytona 2023
8,27,24,   William Byron,RaptorTough.com   (Rick Hendrick),Chevrolet,163,running,1,35,0,Daytona 2023
9,10,4,   Kevin Harvick,Gearwrench   (Stewart Haas Racing),Ford,163,running,14,36,0,Daytona 2023
10,37,7,   Corey LaJoie,NEGU   (Spire Motorsports),Chevrolet,163,running,0,27,0,Daytona 2023
11,30,77,   Ty Dillon,Gainbridge   (Spire Motorsports),Chevrolet,163,running,0,26,0,Daytona 2023
12,4,23,   Bubba Wallace,Columbia Sportswear Company   (23XI Racing),Toyota,163,running,0,30,0,Daytona 2023
13,39,34,   Michael McDowell,Fr8Auctions   (Bob Jenkins),Ford,163,running,0,24,0,Daytona 2023
14,26,62,   Austin Hill,United Rentals / Beard Oil   (Beard Motorsports),Chevrolet,163,running,0,0,0,Daytona 2023
15,36,13,   Chandler Smith,"Quick Tie Products, Inc.   (Matthew Kaulig)",Chevrolet,163,running,0,0,0,Daytona 2023
16,15,20,   Christopher Bell,Yahoo!   (Joe Gibbs),Toyota,163,running,0,30,0,Daytona 2023
17,25,1,   Ross Chastain,Worldwide Express   (Trackhouse Racing),Chevrolet,163,running,19,22,0,Daytona 2023
18,24,43,   Erik Jones,Allegiant   (Legacy Motor Club),Chevrolet,163,running,0,19,0,Daytona 2023
19,33,51,   J.J. Yeley,Biohaven/Jacob Co.   (Rick Ware),Ford,163,running,0,0,0,Daytona 2023
20,22,99,   Daniel Suarez,Freeway.com   (Trackhouse Racing),Chevrolet,163,running,1,26,0,Daytona 2023
21,28,31,   Justin Haley,Celsius   (Matthew Kaulig),Chevrolet,163,running,0,16,0,Daytona 2023
22,29,42,   Josh Berry,Sunseeker Resort   (Legacy Motor Club),Chevrolet,163,running,0,0,0,Daytona 2023
23,38,78,   B.J. McLeod,B'laster   (B.J. McLeod),Chevrolet,163,running,0,14,0,Daytona 2023
24,13,19,   Martin Truex Jr,Bass Pro Shops / Ducks Unlimited   (Joe Gibbs),Toyota,163,running,4,23,1,Daytona 2023
25,20,45,   Tyler Reddick,The Beast Unleashed   (23XI Racing),Toyota,163,running,0,17,0,Daytona 2023
26,19,11,   Denny Hamlin,FedEx Cares   (Joe Gibbs),Toyota,162,running,12,14,0,Daytona 2023
27,7,5,   Kyle Larson,HendrickCars.com   (Rick Hendrick),Chevrolet,161,running,0,10,0,Daytona 2023
28,3,21,   Harrison Burton,DEX Imaging   (Wood Brothers),Ford,160,running,5,9,0,Daytona 2023
29,17,16,   A.J. Allmendinger,Action Industries   (Matthew Kaulig),Chevrolet,160,running,8,8,0,Daytona 2023
30,1,14,   Chase Briscoe,Magical Vacation Planner   (Stewart Haas Racing),Ford,156,crash,67,9,0,Daytona 2023
31,9,41,   Ryan Preece,RaceChoice.com   (Stewart Haas Racing),Ford,155,crash,0,6,0,Daytona 2023
32,35,38,   Todd Gilliland,Boot Barn   (Bob Jenkins),Ford,131,overheating,0,5,0,Daytona 2023
33,21,3,   Austin Dillon,BREZTRI   (Richard Childress),Chevrolet,102,crash,0,7,0,Daytona 2023
34,32,47,   Ricky Stenhouse Jr,Boost by Kroger/Entenmann's   (JTG-Daugherty Racing),Chevrolet,96,crash,1,3,0,Daytona 2023
35,5,54,   Ty Gibbs,Monster Energy   (Joe Gibbs),Toyota,94,crash,0,9,0,Daytona 2023
36,8,12,   Ryan Blaney,Advance Auto Parts   (Roger Penske),Ford,94,crash,4,1,0,Daytona 2023
37,16,2,   Austin Cindric,MenardsCardell Cabinetry   (Roger Penske),Ford,94,crash,0,5,0,Daytona 2023
38,6,36,   Riley Herbst,Monster Energy Zero Sugar   (Bob Jenkins),Ford,94,crash,0,0,0,Daytona 2023
39,34,15,   Brennan Poole,Finance Pro Plus   (Rick Ware),Ford,93,crash,0,0,0,Daytona 2023
1,21,8,   Kyle Busch,Lucas Oil   (Richard Childress),Chevrolet,200,running,27,49,5,Pala Casino 2023 
2,33,9,   Chase Elliott,NAPA Auto Parts   (Rick Hendrick),Chevrolet,200,running,1,40,0,Pala Casino 2023 
3,8,1,   Ross Chastain,Kubota   (Trackhouse Racing),Chevrolet,200,running,91,54,2,Pala Casino 2023 
4,7,99,   Daniel Suarez,Freeway Insurance   (Trackhouse Racing),Chevrolet,200,running,0,47,0,Pala Casino 2023 
5,10,4,   Kevin Harvick,Gearwrench   (Stewart Haas Racing),Ford,200,running,5,42,0,Pala Casino 2023 
6,13,11,   Denny Hamlin,SportClips Haircuts   (Joe Gibbs),Toyota,200,running,11,42,0,Pala Casino 2023 
7,16,6,   Brad Keselowski,Castrol Edge   (Jack Roush),Ford,200,running,2,32,0,Pala Casino 2023 
8,4,48,   Alex Bowman,Ally   (Rick Hendrick),Chevrolet,200,running,17,39,0,Pala Casino 2023 
9,28,3,   Austin Dillon,Dow Coatings   (Richard Childress),Chevrolet,200,running,3,28,0,Pala Casino 2023 
10,3,22,   Joey Logano,AAA Southern California   (Roger Penske),Ford,200,running,19,39,0,Pala Casino 2023 
11,14,19,   Martin Truex Jr,Reser's Fine Foods   (Joe Gibbs),Toyota,200,running,0,28,0,Pala Casino 2023 
12,2,47,   Ricky Stenhouse Jr,Ralphs/Tree Top   (JTG-Daugherty Racing),Chevrolet,200,running,0,25,0,Pala Casino 2023 
13,5,17,   Chris Buescher,Pala Casino   (Jack Roush),Ford,200,running,0,24,0,Pala Casino 2023 
14,12,7,   Corey LaJoie,NEGU   (Spire Motorsports),Chevrolet,200,running,0,24,0,Pala Casino 2023 
15,24,21,   Harrison Burton,DEX Imaging   (Wood Brothers),Ford,200,running,0,22,0,Pala Casino 2023 
16,23,54,   Ty Gibbs,Monster Energy   (Joe Gibbs),Toyota,200,running,0,21,0,Pala Casino 2023 
17,25,38,   Todd Gilliland,LONG JOHN SILVER'S   (Bob Jenkins),Ford,200,running,0,20,0,Pala Casino 2023 
18,26,34,   Michael McDowell,Horizon Hobby   (Bob Jenkins),Ford,200,running,6,19,0,Pala Casino 2023 
19,34,43,   Erik Jones,Allegiant   (Legacy Motor Club),Chevrolet,200,running,0,18,0,Pala Casino 2023 
20,31,14,   Chase Briscoe,Rush Truck CentersMobilDelvac   (Stewart Haas Racing),Ford,200,running,0,17,0,Pala Casino 2023 
21,29,31,   Justin Haley,LeafFilter Gutter Protection   (Matthew Kaulig),Chevrolet,199,running,0,16,0,Pala Casino 2023 
22,20,42,   Noah Gragson,Sunseeker Resort   (Legacy Motor Club),Chevrolet,199,running,1,15,0,Pala Casino 2023 
23,22,15,   J.J. Yeley,ActOne Group   (Rick Ware),Ford,199,running,0,14,0,Pala Casino 2023 
24,30,78,   B.J. McLeod,AMERICAN HARTFORD GOLD   (B.J. McLeod),Chevrolet,199,running,0,13,0,Pala Casino 2023 
25,32,24,   William Byron,RaptorTough.com   (Rick Hendrick),Chevrolet,198,running,0,17,0,Pala Casino 2023 
26,9,12,   Ryan Blaney,Wurth   (Roger Penske),Ford,196,running,16,20,0,Pala Casino 2023 
27,11,51,   Cody Ware,Biohaven   (Rick Ware),Ford,195,running,0,10,0,Pala Casino 2023 
28,19,2,   Austin Cindric,Menards Quaker State   (Roger Penske),Ford,194,running,0,9,0,Pala Casino 2023 
29,15,5,   Kyle Larson,HendrickCars.com   (Rick Hendrick),Chevrolet,185,running,0,8,0,Pala Casino 2023 
30,18,23,   Bubba Wallace,Leidos   (23XI Racing),Toyota,172,engine,0,7,0,Pala Casino 2023 
31,36,77,   Ty Dillon,Nations Guard   (Spire Motorsports),Chevrolet,140,engine,0,6,0,Pala Casino 2023 
32,1,20,   Christopher Bell,SiriusXM   (Joe Gibbs),Toyota,88,crash,1,5,0,Pala Casino 2023 
33,27,41,   Ryan Preece,HaasTooling.com   (Stewart Haas Racing),Ford,87,crash,0,4,0,Pala Casino 2023 
34,35,45,   Tyler Reddick,The Beast Unleashed   (23XI Racing),Toyota,87,crash,0,3,0,Pala Casino 2023 
35,17,10,   Aric Almirola,Smithfield   (Stewart Haas Racing),Ford,86,crash,0,2,0,Pala Casino 2023 
36,6,16,   A.J. Allmendinger,Farmsmart   (Matthew Kaulig),Chevrolet,75,crash,0,1,0,Pala Casino 2023 
1,2,24,   William Byron,RaptorTough.com   (Rick Hendrick),Chevrolet,271,running,176,60,7,Las Vegas 2023
2,6,5,   Kyle Larson,HendrickCars.com   (Rick Hendrick),Chevrolet,271,running,63,53,0,Las Vegas 2023
3,11,48,   Alex Bowman,Ally   (Rick Hendrick),Chevrolet,271,running,2,46,0,Las Vegas 2023
4,13,23,   Bubba Wallace,Columbia Sportswear Company   (23XI Racing),Toyota,271,running,0,41,0,Las Vegas 2023
5,10,20,   Christopher Bell,SiriusXM   (Joe Gibbs),Toyota,271,running,0,45,0,Las Vegas 2023
6,9,2,   Austin Cindric,Discount Tire   (Roger Penske),Ford,271,running,0,31,0,Las Vegas 2023
7,15,19,   Martin Truex Jr,Bass Pro Shops   (Joe Gibbs),Toyota,271,running,3,42,0,Las Vegas 2023
8,27,31,   Justin Haley,LeafFilter Gutter Protection   (Matthew Kaulig),Chevrolet,271,running,0,29,0,Las Vegas 2023
9,14,4,   Kevin Harvick,Rheem   (Stewart Haas Racing),Ford,271,running,0,29,0,Las Vegas 2023
10,24,99,   Daniel Suarez,Tootsies Orchid Lounge   (Trackhouse Racing),Chevrolet,271,running,0,27,0,Las Vegas 2023
11,12,11,   Denny Hamlin,FedEx Express   (Joe Gibbs),Toyota,271,running,10,35,0,Las Vegas 2023
12,8,1,   Ross Chastain,GlobalTranz   (Trackhouse Racing),Chevrolet,271,running,0,37,0,Las Vegas 2023
13,3,12,   Ryan Blaney,MenardsPennzoil   (Roger Penske),Ford,271,running,0,24,0,Las Vegas 2023
14,5,8,   Kyle Busch,Alsco   (Richard Childress),Chevrolet,271,running,0,25,0,Las Vegas 2023
15,34,45,   Tyler Reddick,Monster Energy   (23XI Racing),Toyota,271,running,3,22,0,Las Vegas 2023
16,21,10,   Aric Almirola,Smithfield   (Stewart Haas Racing),Ford,271,running,0,21,0,Las Vegas 2023
17,7,6,   Brad Keselowski,Fastenal   (Jack Roush),Ford,271,running,5,23,0,Las Vegas 2023
18,23,16,   A.J. Allmendinger,Action Industries   (Matthew Kaulig),Chevrolet,271,running,0,19,0,Las Vegas 2023
19,22,43,   Erik Jones,Allegiant   (Legacy Motor Club),Chevrolet,270,crash,0,18,0,Las Vegas 2023
20,19,7,   Corey LaJoie,EnviroXstream   (Spire Motorsports),Chevrolet,270,running,0,17,0,Las Vegas 2023
21,18,17,   Chris Buescher,Nexletol   (Jack Roush),Ford,270,running,0,16,0,Las Vegas 2023
22,4,54,   Ty Gibbs,He Gets Us   (Joe Gibbs),Toyota,270,running,0,15,0,Las Vegas 2023
23,31,41,   Ryan Preece,HaasTooling.com   (Stewart Haas Racing),Ford,270,running,0,14,0,Las Vegas 2023
24,16,47,   Ricky Stenhouse Jr,Smith's/Coca-Cola Zero Sugar   (JTG-Daugherty Racing),Chevrolet,270,running,0,13,0,Las Vegas 2023
25,17,34,   Michael McDowell,Quincy Compressor   (Bob Jenkins),Ford,270,running,0,12,0,Las Vegas 2023
26,35,21,   Harrison Burton,Motorcraft/Quick Lane   (Wood Brothers),Ford,269,running,0,11,0,Las Vegas 2023
27,26,3,   Austin Dillon,BREZTRI   (Richard Childress),Chevrolet,269,running,0,10,0,Las Vegas 2023
28,20,14,   Chase Briscoe,Mahindra Tractors   (Stewart Haas Racing),Ford,269,running,0,9,0,Las Vegas 2023
29,32,9,   Josh Berry,NAPA Auto Parts   (Rick Hendrick),Chevrolet,269,running,0,0,0,Las Vegas 2023
30,25,42,   Noah Gragson,Sunseeker Resort   (Legacy Motor Club),Chevrolet,269,running,0,7,0,Las Vegas 2023
31,28,38,   Todd Gilliland,Ruedebusch   (Bob Jenkins),Ford,268,running,0,6,0,Las Vegas 2023
32,36,78,   B.J. McLeod,Circle B Diecast   (B.J. McLeod),Chevrolet,266,running,0,5,0,Las Vegas 2023
33,29,15,   J.J. Yeley,OTR Mobile   (Rick Ware),Ford,265,running,0,4,0,Las Vegas 2023
34,33,77,   Ty Dillon,Nations Guard   (Spire Motorsports),Chevrolet,265,running,0,3,0,Las Vegas 2023
35,30,51,   Cody Ware,Biohaven/Jacob Co.   (Rick Ware),Ford,259,running,0,2,0,Las Vegas 2023
36,1,22,   Joey Logano,Pennzoil   (Roger Penske),Ford,183,dvp,9,1,0,Las Vegas 2023
1,3,24,   William Byron,Valvoline   (Rick Hendrick),Chevrolet,317,running,64,59,6,Pheonix 2023
2,8,12,   Ryan Blaney,Dent Wizard   (Roger Penske),Ford,317,running,0,43,0,Pheonix 2023
3,12,45,   Tyler Reddick,The Beast Unleashed   (23XI Racing),Toyota,317,running,0,46,0,Pheonix 2023
4,1,5,   Kyle Larson,HendrickCars.com   (Rick Hendrick),Chevrolet,317,running,201,52,1,Pheonix 2023
5,15,4,   Kevin Harvick,Hunt Brothers Pizza   (Stewart Haas Racing),Ford,317,running,36,43,0,Pheonix 2023
6,5,20,   Christopher Bell,Rheem   (Joe Gibbs),Toyota,317,running,0,43,0,Pheonix 2023
7,24,14,   Chase Briscoe,Mahindra Tractors   (Stewart Haas Racing),Ford,317,running,0,31,0,Pheonix 2023
8,9,8,   Kyle Busch,Cheddar's Scratch Kitchen   (Richard Childress),Chevrolet,317,running,0,30,0,Pheonix 2023
9,18,48,   Alex Bowman,Ally Best Friends   (Rick Hendrick),Chevrolet,317,running,0,28,0,Pheonix 2023
10,17,9,   Josh Berry,Kelley Blue Book   (Rick Hendrick),Chevrolet,317,running,0,0,0,Pheonix 2023
11,16,22,   Joey Logano,Shell Pennzoil   (Roger Penske),Ford,317,running,0,26,0,Pheonix 2023
12,25,41,   Ryan Preece,United Rentals   (Stewart Haas Racing),Ford,317,running,0,25,0,Pheonix 2023
13,7,34,   Michael McDowell,Love's Travel Stops   (Bob Jenkins),Ford,317,running,0,24,0,Pheonix 2023
14,19,23,   Bubba Wallace,McDonald's   (23XI Racing),Toyota,317,running,0,23,0,Pheonix 2023
15,21,17,   Chris Buescher,Socios   (Jack Roush),Ford,317,running,0,22,0,Pheonix 2023
16,30,3,   Austin Dillon,BetMGM March Matchups   (Richard Childress),Chevrolet,317,running,0,21,0,Pheonix 2023
17,13,19,   Martin Truex Jr,Bass Pro Shops   (Joe Gibbs),Toyota,317,running,0,20,0,Pheonix 2023
18,4,6,   Brad Keselowski,Castrol Edge   (Jack Roush),Ford,317,running,1,28,0,Pheonix 2023
19,23,47,   Ricky Stenhouse Jr,Thomas'   (JTG-Daugherty Racing),Chevrolet,317,running,0,18,0,Pheonix 2023
20,22,16,   A.J. Allmendinger,Action Industries   (Matthew Kaulig),Chevrolet,317,running,0,17,0,Pheonix 2023
21,10,43,   Erik Jones,Allegiant   (Legacy Motor Club),Chevrolet,317,running,14,16,0,Pheonix 2023
22,11,99,   Daniel Suarez,Freeway Insurance   (Trackhouse Racing),Chevrolet,317,running,0,15,0,Pheonix 2023
23,2,11,   Denny Hamlin,Shingrix   (Joe Gibbs),Toyota,317,running,0,2,0,Pheonix 2023
24,6,1,   Ross Chastain,Kubota   (Trackhouse Racing),Chevrolet,317,running,1,19,0,Pheonix 2023
25,20,2,   Austin Cindric,MenardsRichmond Water Heaters   (Roger Penske),Ford,316,running,0,12,0,Pheonix 2023
26,28,7,   Corey LaJoie,EnviroXstream   (Spire Motorsports),Chevrolet,316,running,0,11,0,Pheonix 2023
27,26,31,   Justin Haley,LeafFilter Gutter Protection   (Matthew Kaulig),Chevrolet,316,running,0,10,0,Pheonix 2023
28,14,54,   Ty Gibbs,Monster Energy   (Joe Gibbs),Toyota,316,running,0,9,0,Pheonix 2023
29,32,42,   Noah Gragson,Sunseeker Resort   (Legacy Motor Club),Chevrolet,316,running,0,8,0,Pheonix 2023
30,35,77,   Ty Dillon,Mutoh   (Spire Motorsports),Chevrolet,315,running,0,7,0,Pheonix 2023
31,34,38,   Zane Smith,Wellcare   (Bob Jenkins),Ford,315,running,0,0,0,Pheonix 2023
32,29,15,   Todd Gilliland,OTR Mobile   (Rick Ware),Ford,314,running,0,5,0,Pheonix 2023
33,31,10,   Aric Almirola,Go Bowling   (Stewart Haas Racing),Ford,313,running,0,4,0,Pheonix 2023
34,36,51,   Cody Ware,Biohaven/Jacob Co.   (Rick Ware),Ford,311,running,0,3,0,Pheonix 2023
35,27,21,   Harrison Burton,DEX Imaging   (Wood Brothers),Ford,310,running,0,2,0,Pheonix 2023
36,33,78,   B.J. McLeod,Superior Logistics Services   (B.J. McLeod),Chevrolet,50,fuel pump,0,1,0,Pheonix 2023
1,1,22,   Joey Logano,AutoTrader   (Roger Penske),Ford,260,running,140,59,6,Atlanta 2023
2,4,6,   Brad Keselowski,King's Hawaiian   (Jack Roush),Ford,260,running,47,45,0,Atlanta 2023
3,10,20,   Christopher Bell,DEWALT   (Joe Gibbs),Toyota,260,running,6,39,0,Atlanta 2023
4,31,7,   Corey LaJoie,Celsius   (Spire Motorsports),Chevrolet,260,running,0,34,0,Atlanta 2023
5,16,45,   Tyler Reddick,Xfinity 10G Network   (23XI Racing),Toyota,260,running,0,39,0,Atlanta 2023
6,14,11,   Denny Hamlin,Shingrix   (Joe Gibbs),Toyota,260,running,14,40,0,Atlanta 2023
7,3,12,   Ryan Blaney,BodyArmor Sport Water   (Roger Penske),Ford,260,running,5,37,0,Atlanta 2023
8,28,43,   Erik Jones,Allegiant   (Legacy Motor Club),Chevrolet,260,running,0,29,0,Atlanta 2023
9,35,54,   Ty Gibbs,Monster Energy   (Joe Gibbs),Toyota,260,running,0,28,0,Atlanta 2023
10,17,8,   Kyle Busch,Lenovo   (Richard Childress),Chevrolet,260,running,7,31,0,Atlanta 2023
11,2,2,   Austin Cindric,Menards Knauf   (Roger Penske),Ford,260,running,5,45,1,Atlanta 2023
12,22,42,   Noah Gragson,Sunseeker Resort   (Legacy Motor Club),Chevrolet,260,running,0,25,0,Atlanta 2023
13,18,1,   Ross Chastain,AdventHealth   (Trackhouse Racing),Chevrolet,260,running,5,24,0,Atlanta 2023
14,15,48,   Alex Bowman,Ally   (Rick Hendrick),Chevrolet,260,running,0,31,0,Atlanta 2023
15,23,38,   Todd Gilliland,Gary Martin Hays   (Bob Jenkins),Ford,260,running,0,22,0,Atlanta 2023
16,30,16,   A.J. Allmendinger,Action Industries   (Matthew Kaulig),Chevrolet,260,running,0,21,0,Atlanta 2023
17,27,47,   Ricky Stenhouse Jr,Kroger/Nature Valley   (JTG-Daugherty Racing),Chevrolet,260,running,7,20,0,Atlanta 2023
18,21,9,   Josh Berry,NAPA Auto Parts   (Rick Hendrick),Chevrolet,260,running,0,0,0,Atlanta 2023
19,29,19,   Martin Truex Jr,Bass Pro Shops   (Joe Gibbs),Toyota,260,running,0,23,0,Atlanta 2023
20,13,3,   Austin Dillon,Andy's Frozen Custard   (Richard Childress),Chevrolet,260,running,0,17,0,Atlanta 2023
21,12,34,   Michael McDowell,Fr8Auctions.com   (Bob Jenkins),Ford,260,running,0,16,0,Atlanta 2023
22,20,31,   Justin Haley,LeafFilter Gutter Protection   (Matthew Kaulig),Chevrolet,260,running,0,15,0,Atlanta 2023
23,26,77,   Ty Dillon,Ferris Commercial Mowers   (Spire Motorsports),Chevrolet,260,running,0,14,0,Atlanta 2023
24,8,14,   Chase Briscoe,HighPoint.com   (Stewart Haas Racing),Ford,259,running,0,13,0,Atlanta 2023
25,32,51,   Cody Ware,Biohaven/Jacob Co.   (Rick Ware),Ford,258,running,1,12,0,Atlanta 2023
26,34,15,   J.J. Yeley,Barnett Southern Corporation   (Rick Ware),Ford,258,running,0,0,0,Atlanta 2023
27,19,23,   Bubba Wallace,Door Dash   (23XI Racing),Toyota,255,running,0,10,0,Atlanta 2023
28,24,41,   Ryan Preece,Autodesk/HaasTooling.com   (Stewart Haas Racing),Ford,244,running,0,9,0,Atlanta 2023
29,25,99,   Daniel Suarez,Tootsies Orchid Lounge   (Trackhouse Racing),Chevrolet,213,dvp,0,10,0,Atlanta 2023
30,5,10,   Aric Almirola,Smithfield   (Stewart Haas Racing),Ford,208,crash,17,7,0,Atlanta 2023
31,9,5,   Kyle Larson,HendrickCars.com   (Rick Hendrick),Chevrolet,208,crash,0,6,0,Atlanta 2023
32,11,24,   William Byron,Liberty University   (Rick Hendrick),Chevrolet,192,crash,0,11,0,Atlanta 2023
33,6,4,   Kevin Harvick,Busch Light   (Stewart Haas Racing),Ford,190,crash,1,4,0,Atlanta 2023
34,33,21,   Harrison Burton,Motorcraft/Quick Lane   (Wood Brothers),Ford,190,dvp,0,3,0,Atlanta 2023
35,7,17,   Chris Buescher,Violet Defense   (Jack Roush),Ford,189,crash,5,10,0,Atlanta 2023
36,36,78,   B.J. McLeod,B'laster   (B.J. McLeod),Chevrolet,189,crash,0,1,0,Atlanta 2023
1,2,45,   Tyler Reddick,Monster Energy   (23XI Racing),Toyota,75,running,41,50,6,Texas 2023
2,9,8,   Kyle Busch,Netspend   (Richard Childress),Chevrolet,75,running,0,39,0,Texas 2023
3,6,48,   Alex Bowman,Ally   (Rick Hendrick),Chevrolet,75,running,0,41,0,Texas 2023
4,12,1,   Ross Chastain,Worldwide Express   (Trackhouse Racing),Chevrolet,75,running,0,39,0,Texas 2023
5,1,24,   William Byron,Liberty University   (Rick Hendrick),Chevrolet,75,running,28,42,1,Texas 2023
6,3,2,   Austin Cindric,Discount Tire   (Roger Penske),Ford,75,running,2,40,0,Texas 2023
7,18,47,   Ricky Stenhouse Jr,Kroger/Blue Buffalo   (JTG-Daugherty Racing),Chevrolet,75,running,0,35,0,Texas 2023
8,32,17,   Chris Buescher,Fifth Third Bank   (Jack Roush),Ford,75,running,1,35,0,Texas 2023
9,17,54,   Ty Gibbs,He Gets Us   (Joe Gibbs),Toyota,75,running,0,28,0,Texas 2023
10,36,38,   Todd Gilliland,Ruedebusch   (Bob Jenkins),Ford,75,running,0,27,0,Texas 2023
11,27,7,   Corey LaJoie,OpTic Gaming   (Spire Motorsports),Chevrolet,75,running,0,26,0,Texas 2023
12,20,34,   Michael McDowell,Love's Travel Stops   (Bob Jenkins),Ford,75,running,0,33,0,Texas 2023
13,29,4,   Kevin Harvick,Mobil 1   (Stewart Haas Racing),Ford,75,running,0,31,0,Texas 2023
14,13,5,   Kyle Larson,HendrickCars.com   (Rick Hendrick),Chevrolet,75,running,0,27,0,Texas 2023
15,19,14,   Chase Briscoe,Mahindra Tractors   (Stewart Haas Racing),Ford,75,running,0,24,0,Texas 2023
16,21,11,   Denny Hamlin,Interstate Batteries   (Joe Gibbs),Toyota,75,running,0,21,0,Texas 2023
17,25,19,   Martin Truex Jr,Bass Pro Shops   (Joe Gibbs),Toyota,75,running,0,20,0,Texas 2023
18,24,15,   Jenson Button,Mobil 1   (Rick Ware),Ford,75,running,0,19,0,Texas 2023
19,23,31,   Justin Haley,Celsius   (Matthew Kaulig),Chevrolet,75,running,0,18,0,Texas 2023
20,10,42,   Noah Gragson,Black Rifle Coffee Company   (Legacy Motor Club),Chevrolet,75,running,0,18,0,Texas 2023
21,38,12,   Ryan Blaney,Menards Knauf   (Roger Penske),Ford,75,running,0,16,0,Texas 2023
22,16,21,   Harrison Burton,Motorcraft/Quick Lane   (Wood Brothers),Ford,75,running,0,15,0,Texas 2023
23,8,43,   Erik Jones,Allegiant   (Legacy Motor Club),Chevrolet,75,running,0,17,0,Texas 2023
24,4,9,   Jordan Taylor,UniFirst   (Rick Hendrick),Chevrolet,75,running,0,16,0,Texas 2023
25,37,51,   Cody Ware,PublicSq.   (Rick Ware),Ford,75,running,0,12,0,Texas 2023
26,33,78,   Josh Bilicki,Zeigler Auto Group   (B.J. McLeod),Chevrolet,75,running,0,0,0,Texas 2023
27,5,99,   Daniel Suarez,Freeway Insurance   (Trackhouse Racing),Chevrolet,75,running,1,15,0,Texas 2023
28,15,22,   Joey Logano,Shell Pennzoil   (Roger Penske),Ford,75,running,1,9,0,Texas 2023
29,22,91,   Kimi Raikkonen,Onx Homes / iLOQ   (Trackhouse Racing),Chevrolet,75,running,0,8,0,Texas 2023
30,39,10,   Aric Almirola,Smithfield   (Stewart Haas Racing),Ford,74,running,0,7,0,Texas 2023
31,14,20,   Christopher Bell,DEWALT   (Joe Gibbs),Toyota,73,crash,1,8,0,Texas 2023
32,26,41,   Ryan Preece,HaasTooling.com   (Stewart Haas Racing),Ford,68,crash,0,6,0,Texas 2023
33,28,3,   Austin Dillon,Get Bioethanol   (Richard Childress),Chevrolet,62,crash,0,13,0,Texas 2023
34,7,16,   A.J. Allmendinger,Farmsmart   (Matthew Kaulig),Chevrolet,60,crash,0,11,0,Texas 2023
35,30,6,   Brad Keselowski,Wyndham Rewards   (Jack Roush),Ford,56,driveshaft,0,2,0,Texas 2023
36,35,50,   Conor Daly,Bitnile.com   (TMT Racing),Chevrolet,16,transmission,0,1,0,Texas 2023
37,11,23,   Bubba Wallace,MoneyLion   (23XI Racing),Toyota,10,crash,0,1,0,Texas 2023
38,31,84,   Jimmie Johnson,Club Wyndham   (Legacy Motor Club),Chevrolet,0,dvp,0,1,0,Texas 2023
39,34,77,   Ty Dillon,Ferris Commercial Mowers   (Spire Motorsports),Chevrolet,0,crash,0,1,0,Texas 2023
1,9,5,   Kyle Larson,HendrickCars.com   (Rick Hendrick),Chevrolet,400,running,93,52,5,Richmond 2023
2,30,9,   Josh Berry,NAPA Auto Parts   (Rick Hendrick),Chevrolet,400,running,10,0,0,Richmond 2023
3,4,1,   Ross Chastain,Jockey   (Trackhouse Racing),Chevrolet,400,running,16,48,0,Richmond 2023
4,21,20,   Christopher Bell,Rheem   (Joe Gibbs),Toyota,400,running,26,45,0,Richmond 2023
5,10,4,   Kevin Harvick,Gearwrench   (Stewart Haas Racing),Ford,400,running,0,41,0,Richmond 2023
6,15,34,   Michael McDowell,Love's Travel Stops   (Bob Jenkins),Ford,400,running,0,31,0,Richmond 2023
7,18,22,   Joey Logano,Shell Pennzoil   (Roger Penske),Ford,400,running,0,36,0,Richmond 2023
8,1,48,   Alex Bowman,Ally   (Rick Hendrick),Chevrolet,400,running,8,-23,-5,Richmond 2023
9,14,54,   Ty Gibbs,Monster Energy   (Joe Gibbs),Toyota,400,running,0,29,0,Richmond 2023
10,24,6,   Brad Keselowski,Solomon Plumbing   (Jack Roush),Ford,400,running,1,34,0,Richmond 2023
11,12,19,   Martin Truex Jr,Auto-Owners Insurance   (Joe Gibbs),Toyota,400,running,56,33,0,Richmond 2023
12,19,14,   Chase Briscoe,Mahindra Tractors   (Stewart Haas Racing),Ford,400,running,0,26,0,Richmond 2023
13,32,10,   Aric Almirola,Smithfield   (Stewart Haas Racing),Ford,400,running,0,24,0,Richmond 2023
14,2,8,   Kyle Busch,3CHI   (Richard Childress),Chevrolet,400,running,1,23,0,Richmond 2023
15,13,38,   Todd Gilliland,Quincy Compressor   (Bob Jenkins),Ford,400,running,0,22,0,Richmond 2023
